features,importance
secondary_subj_resource_type_is_adj_rate,0.2276923076923077
teacher_acctid_is_exciting_adj_rate,0.06615384615384616
teacher_acctid_at_least_1_teacher_referred_donor_cumrate,0.05692307692307692
teacher_acctid_is_exciting_cumcredrate,0.05076923076923077
total_price_excluding_optional_support,0.047692307692307694
essay_new_pred,0.043076923076923075
teacher_acctid_gapdays,0.033846153846153845
schoolid_is_exciting_adj_rate,0.03076923076923077
school_county_is_exciting_cumrate,0.027692307692307693
teacher_acctid_is_teacher_acct_cumrate,0.026153846153846153
teacher_acctid_donation_total_cumcnt,0.024615384615384615
title_new_pred,0.023076923076923078
schoolid_gapdays,0.021538461538461538
tech_item_amount_total,0.021538461538461538
teacher_acctid_great_chat_cumrate,0.021538461538461538
schoolid_at_least_1_green_donation_cumrate,0.02
schoolid_is_teacher_acct_cumrate,0.018461538461538463
school_state_is_exciting_adj_rate,0.016923076923076923
essay_length,0.016923076923076923
teach_in_america,0.015384615384615385
schoolid_great_chat_cumrate,0.015384615384615385
teacher_acctid_cumcnt,0.015384615384615385
optional_support,0.013846153846153847
main_resource_type,0.010769230769230769
price_per_student,0.010769230769230769
cnt_weekly_by_schoolid,0.010769230769230769
essay_cap_len,0.009230769230769232
eligible_double_impact,0.009230769230769232
books_item_amount_total,0.009230769230769232
school_district_is_exciting_cumrate,0.009230769230769232
schoolid_is_exciting_cumcredrate_cap,0.007692307692307693
eligible_almost_home,0.007692307692307693
cnt_weekly_by_zip,0.006153846153846154
cnt_biweekly_by_zip,0.006153846153846154
school_longitude,0.006153846153846154
title_length,0.006153846153846154
schoolid_at_least_1_teacher_referred_donor_cumrate,0.004615384615384616
teacher_gender,0.004615384615384616
resource_total_per_project,0.004615384615384616
weekday,0.003076923076923077
cnt_biweekly_by_schoolid,0.003076923076923077
school_latitude,0.003076923076923077
item_amount_total_per_project,0.003076923076923077
primary_subj_resource_type_is_adj_rate,0.0015384615384615385
schoolid_cost_gap,0.0015384615384615385
school_district_fully_funded_cumrate,0.0015384615384615385
cnt_biweekly_by_city,0.0015384615384615385
schoolid_donation_total_cumcnt,0.0015384615384615385
cost_by_school_city_cummax,0.0015384615384615385
title_cap_len,0.0
schoolid_fully_funded_cumrate,0.0
essay_cap_per,0.0
schoolid_cumcnt,0.0
teacher_acctid_fully_funded_cumrate,0.0
students_reached,0.0
other_item_amount_total,0.0
supplies_item_amount_total,0.0
ave_proj_cost_school_city,0.0
students_cnt,0.0
books_cnt,0.0
cnt_weekly_by_city,0.0
cnt_monthly_by_zip,0.0
cnt_monthly_by_schoolid,0.0
ave_opt_sup_school_city,0.0
school_city_gapdays,0.0
ave_price_excl_school,0.0
tot_cost_per_day_schoolid,0.0
cost_by_school_zip_cummin,0.0
metro,0.0
teacher_ny_fellow,0.0
poverty,0.0
primary_subject,0.0
title_cap_per,0.0
